,Auc,Accuracy,F1,Precision,Recall
VAE,1.0,0.9892857142857142,0.9917321207110377,0.9838095238095239,1.0
FA 2 Factors,0.9849428620160328,0.9321428571428572,0.9473913071652778,0.9023312305809246,1.0
GMM,0.9986740710270123,0.9535714285714285,0.9392175246756528,1.0,0.8885055685055685
FA 3 Factors,0.9844519803486804,0.9214285714285714,0.9375420111773828,0.8838535578617659,1.0
PPCA 2 Components,0.970043936248854,0.9285714285714285,0.9352842460671937,0.9651920122887864,0.9132927653820149
