,Auc,Accuracy,F1,Precision,Recall
PPCA 2 Components,0.970043936248854,0.9285714285714285,0.9352842460671937,0.9651920122887864,0.9132927653820149
PPCA 3 Components,0.9771553327433207,0.9142857142857144,0.9287684358652101,0.9570945945945946,0.9038416695525981
PPCA 4 Components,0.9811470655442356,0.9178571428571429,0.9325346696314438,0.9570945945945946,0.9107382212767361
PPCA 5 Components,0.9825886416629999,0.9107142857142858,0.9247482402654816,0.9615588803088804,0.8907382212767361
PPCA 6 Components,0.982891906069564,0.9035714285714285,0.9192345489257138,0.9685794346978558,0.875616270057224
PPCA 7 Components,0.9836940451069973,0.9,0.9154683151594799,0.9685794346978558,0.8687197183330861
PPCA 8 Components,0.9834266654278527,0.9035714285714285,0.9192190713603269,0.9688439849624061,0.8753863849997527
PPCA 9 Components,0.9824947327025197,0.8857142857142858,0.9037698815119694,0.9735023041474655,0.845113788156137
PPCA 10 Components,0.9810382282870286,0.8857142857142858,0.9047047205433122,0.9746753246753247,0.8491408994211647
