,Auc,Accuracy,F1,Precision,Recall
FA 2 Factors,0.9849428620160328,0.9321428571428572,0.9473913071652778,0.9023312305809246,1.0
FA 3 Factors,0.9844519803486804,0.9214285714285714,0.9375420111773828,0.8838535578617659,1.0
FA 4 Factors,0.9828008481236601,0.8857142857142858,0.9176491990928974,0.8495122397995175,1.0
FA 5 Factors,0.9818957651924833,0.8571428571428571,0.9006336325823732,0.8202495802384815,1.0
FA 6 Factors,0.9824095681200793,0.7035714285714285,0.8037490046185699,0.6774422589548639,1.0
FA 7 Factors,0.980873071411169,0.7321428571428572,0.8189098949379865,0.6997927786499214,1.0
FA 8 Factors,0.9790572431856042,0.75,0.8287553877103087,0.7125767640389489,1.0
FA 9 Factors,0.9779877244690267,0.7607142857142858,0.8347989674818944,0.7222162198212618,1.0
FA 10 Factors,0.9769520964354271,0.775,0.8427444823745616,0.7329616179160252,1.0
